season,feature,mean_abs_shap,category
Monsoon,lag_aqi_30,256.1564,Lag
Monsoon,lag_pm25_1,41.8249,Lag
Monsoon,lag_pm25_7,256.1564,Lag
Monsoon,lag_pm10_1,41.8468,Lag
Monsoon,lag_co_1,41.7956,Lag
Monsoon,lag_no2_1,41.8307,Lag
Monsoon,lag_temperature_1,41.8033,Lag
Monsoon,lag_wind_speed_1,41.8249,Lag
Monsoon,pm25,202.1286,Raw Pollutant/Meteo
Monsoon,pm10,22.4106,Raw Pollutant/Meteo
Monsoon,co,41.8256,Raw Pollutant/Meteo
Monsoon,no2,41.814,Raw Pollutant/Meteo
Monsoon,o3,41.8145,Raw Pollutant/Meteo
Monsoon,so2,41.8213,Raw Pollutant/Meteo
Monsoon,nh3,41.8174,Raw Pollutant/Meteo
Monsoon,temperature,41.8718,Raw Pollutant/Meteo
Monsoon,humidity,41.8195,Raw Pollutant/Meteo
Monsoon,wind_speed,256.1564,Raw Pollutant/Meteo
Monsoon,pressure,41.7898,Raw Pollutant/Meteo
Monsoon,sin_month,41.8162,Cyclical
Monsoon,cos_month,41.8206,Cyclical
Monsoon,sin_day_of_year,41.8162,Cyclical
Monsoon,cos_day_of_year,41.7907,Cyclical
Monsoon,sin_day_of_week,41.8239,Cyclical
Monsoon,cos_day_of_week,256.1564,Cyclical
Monsoon,season_Winter,41.8162,Season
Monsoon,season_Monsoon,41.822,Season
Monsoon,season_Summer,41.8232,Season
Monsoon,season_Spring,41.8162,Season
Monsoon,year,256.1564,Raw Pollutant/Meteo
Monsoon,quarter,41.8162,Raw Pollutant/Meteo
Monsoon,is_weekend,41.8228,Event
Monsoon,is_covid_lockdown,41.8162,Event
Monsoon,is_diwali,41.8206,Event
Monsoon,is_stubble_burning,41.8228,Event
Monsoon,aqi_saturated,41.581,Raw Pollutant/Meteo
Monsoon,station_encoded,256.1564,Station
Monsoon,station_season_mean_winter,41.8162,Station
Monsoon,interact_pm25_humidity,41.7821,Interaction
Monsoon,interact_pm25_pm10_ratio,42.237,Interaction
Monsoon,interact_co_pm25,256.1564,Interaction
Monsoon,interact_pm10_wind_accum,41.7588,Interaction
Monsoon,interact_temp_o3,41.8192,Interaction
Monsoon,interact_lag_aqi1_winter,41.8162,Interaction
Monsoon,interact_wind_speed_sq,41.8228,Interaction
Monsoon,interact_pm25_stubble,41.822,Interaction
Post-Monsoon,roll_mean_aqi_7,73.374,Rolling
Post-Monsoon,roll_mean_aqi_30,73.3679,Rolling
Post-Monsoon,roll_std_aqi_7,73.357,Rolling
Post-Monsoon,roll_trend_aqi_7,73.3559,Rolling
Post-Monsoon,roll_trend_aqi_30,73.3661,Rolling
Post-Monsoon,roll_aqi_momentum,73.3538,Rolling
Post-Monsoon,roll_episode_flag,73.3641,Rolling
Post-Monsoon,roll_mean_pm25_7,73.4083,Rolling
Post-Monsoon,roll_mean_pm10_7,73.368,Rolling
Post-Monsoon,roll_std_pm25_7,449.2617,Rolling
Post-Monsoon,lag_aqi_1,73.3762,Lag
Post-Monsoon,lag_aqi_7,73.3756,Lag
Post-Monsoon,lag_aqi_14,73.3666,Lag
Post-Monsoon,lag_aqi_30,449.2617,Lag
Post-Monsoon,lag_pm25_1,73.3692,Lag
Post-Monsoon,lag_pm25_7,449.2617,Lag
Post-Monsoon,lag_pm10_1,73.4041,Lag
Post-Monsoon,lag_co_1,73.3709,Lag
Post-Monsoon,lag_no2_1,73.3641,Lag
Post-Monsoon,lag_temperature_1,73.3666,Lag
Post-Monsoon,lag_wind_speed_1,73.3673,Lag
Post-Monsoon,pm25,80.7653,Raw Pollutant/Meteo
Post-Monsoon,pm10,72.3805,Raw Pollutant/Meteo
Post-Monsoon,co,73.3564,Raw Pollutant/Meteo
Post-Monsoon,no2,73.2952,Raw Pollutant/Meteo
Post-Monsoon,o3,73.3664,Raw Pollutant/Meteo
Post-Monsoon,so2,73.36,Raw Pollutant/Meteo
Post-Monsoon,nh3,73.3645,Raw Pollutant/Meteo
Post-Monsoon,temperature,73.3663,Raw Pollutant/Meteo
Post-Monsoon,humidity,73.366,Raw Pollutant/Meteo
Post-Monsoon,wind_speed,449.2617,Raw Pollutant/Meteo
Post-Monsoon,pressure,73.3641,Raw Pollutant/Meteo
Post-Monsoon,sin_month,73.3564,Cyclical
Post-Monsoon,cos_month,73.3641,Cyclical
Post-Monsoon,sin_day_of_year,73.3564,Cyclical
Post-Monsoon,cos_day_of_year,73.3641,Cyclical
Post-Monsoon,sin_day_of_week,73.3716,Cyclical
Post-Monsoon,cos_day_of_week,449.2617,Cyclical
Post-Monsoon,season_Winter,73.3564,Season
Post-Monsoon,season_Monsoon,73.3666,Season
Post-Monsoon,season_Summer,73.3687,Season
Post-Monsoon,season_Spring,73.3564,Season
Post-Monsoon,year,449.2617,Raw Pollutant/Meteo
Post-Monsoon,quarter,73.3564,Raw Pollutant/Meteo
Post-Monsoon,is_weekend,73.3679,Event
Post-Monsoon,is_covid_lockdown,73.3564,Event
Post-Monsoon,is_diwali,73.3641,Event
Post-Monsoon,is_stubble_burning,73.3679,Event
Post-Monsoon,aqi_saturated,72.9438,Raw Pollutant/Meteo
Post-Monsoon,station_encoded,449.2617,Station
Post-Monsoon,station_season_mean_winter,73.3564,Station
Post-Monsoon,interact_pm25_humidity,73.2736,Interaction
Post-Monsoon,interact_pm25_pm10_ratio,72.6901,Interaction
Post-Monsoon,interact_co_pm25,449.2617,Interaction
Post-Monsoon,interact_pm10_wind_accum,73.3132,Interaction
Post-Monsoon,interact_temp_o3,73.3564,Interaction
Post-Monsoon,interact_lag_aqi1_winter,73.3564,Interaction
Post-Monsoon,interact_wind_speed_sq,73.3679,Interaction
Post-Monsoon,interact_pm25_stubble,73.3666,Interaction
