feature,pearson_r_with_aqi,abs_r
station_aqi_offset,0.0327,0.0327
station_season_mean_winter,0.0327,0.0327
station_mean_pm25,0.0327,0.0327
station_mean_aqi,0.0327,0.0327
station_mean_pm10,0.0327,0.0327
roll_aqi_momentum,0.0309,0.0309
roll_std_temperature_7,0.0291,0.0291
day,-0.0126,0.0126
roll_std_temperature_3,0.0113,0.0113
roll_std_aqi_30,-0.0038,0.0038
is_weekend,0.0016,0.0016
day_of_week,0.0015,0.0015
sin_day_of_week,-0.0014,0.0014
cos_day_of_week,0.0005,0.0005
is_holiday,,
